scientific_name,genus,sayer_name,id_difficulty,plant_part,season,best_in,forage_chart,sayer_rating,conservation,sayer_group,page_number,native,sub_location,toxic_lookalike,notes,
Betula lenta,Betula,Sweet birch,1,steeped_beverage,year,,,,,8,122,y,,,use twigs and inner bark for tea or birch beer,
Acer saccharum,Acer,Sugar maple,1,sap,late_winter,,MF,,,8,123,y,,,,
Acer rubrum,Acer,Red maple,1,sap,late_winter,,MF,,,8,123,y,,,,
Acer saccharinum,Acer,Silver maple,1,sap,late_winter,,"MF, FP",,,8,123,y,,,,
Acer saccharinum,Acer,Silver maple,1,seed/grain,spring,,"MF, FP",1,,8,123,y,,,,
Acer negundo,Acer,Boxelder,1,sap,late_winter,,"MF, FP",,,8,123,y,,,commerically tapped in Manitoba,
Ulmus rubra,Ulmus,Slippery elm,2,inner_bark,year,,DDFW,3,3,8,125,y,,,guessing at conservation rating,
Ulmus rubra,Ulmus,Slippery elm,2,cambium,spring,,DDFW,3,3,8,125,y,,,guessing at conservation rating,
Ulmus rubra,Ulmus,Slippery elm,2,cambium,early_summer,,DDFW,3,3,8,125,y,,,guessing at conservation rating,
Ulmus rubra,Ulmus,Slippery elm,2,pod,spring,,DDFW,3,,8,125,y,,,unripe samaras. Guessing at seasonality,
Ulmus rubra,Ulmus,Slippery elm,2,seed/grain,summer,,DDFW,2,,8,125,y,,,Ripe seeds rubbed out of samaras. Guessing at seasonality,
Ulmus pumila,Ulmus,Siberian elm,2,inner_bark,year,,BL,3,,8,125,n,,,,
Ulmus pumila,Ulmus,Siberian elm,2,cambium,spring,,BL,3,,8,125,n,,,,
Ulmus pumila,Ulmus,Siberian elm,2,cambium,early_summer,,BL,3,,8,125,n,,,,
Ulmus pumila,Ulmus,Siberian elm,2,pod,spring,,BL,3,,8,125,n,,,unripe samaras. Guessing at seasonality,
Ulmus pumila,Ulmus,Siberian elm,2,seed/grain,summer,,BL,2,,8,125,n,,,Ripe seeds rubbed out of samaras. Guessing at seasonality,
Epigaea repens,Epigaea,Trailing arbutus,1,flower,early_spring,,,2,1,9,128,y,,,,
Mitchella repens,Mitchella,Patridgeberry,1,berry,year,,,1,1,9,128,y,,,,
Vaccinium macrocarpon,Vaccinium,Large cranberry,1,berry,fall,,B,3,1,9,130,y,,,,
Vaccinium oxycoccus,Vaccinium,Small cranberry,1,berry,fall,,B,3,1,9,130,y,,,,
Vaccinium vitis-idaea,Vaccinium,Lingonberry,2,berry,late_summer,,T,3,3,9,131,y,alpine,,likely threatened in Vermont. Strictly alpine,
Vaccinium vitis-idaea,Vaccinium,Lingonberry,2,berry,winter,,T,3,3,9,131,y,alpine,,likely threatened in Vermont. Strictly alpine,
Vaccinium vitis-idaea,Vaccinium,Lingonberry,2,berry,early_spring,,T,3,3,9,131,y,alpine,,likely threatened in Vermont. Strictly alpine,
Gaultheria procumbens,Gaultheria,Wintergreen,1,berry,late_summer,,NCBF,2,,9,132,y,,,,
Gaultheria procumbens,Gaultheria,Wintergreen,1,berry,early_fall,,NCBF,2,,9,132,y,,,,
Gaultheria procumbens,Gaultheria,Wintergreen,1,berry,early_spring,,NCBF,2,,9,132,y,,,,
Gaultheria procumbens,Gaultheria,Wintergreen,1,steeped_beverage,year,,NCBF,,,9,132,y,,,use leaves for tea,
Gaultheria procumbens,Gaultheria,Wintergreen,1,seasoning,year,,NCBF,,,9,132,y,,,flavoring can be extracted with alcohol,
Arctostaphylos uva-ursi,Arctostaphylos,Bearberry,1,berry,late_summer,,T,1,1,9,133,y,,,supposedly better after hard frosts,
Arctostaphylos uva-ursi,Arctostaphylos,Bearberry,1,berry,fall,,T,1,1,9,133,y,,,supposedly better after hard frosts,
Arctostaphylos uva-ursi,Arctostaphylos,Bearberry,1,berry,winter,,T,1,1,9,133,y,,,supposedly better after hard frosts,
Arctostaphylos uva-ursi,Arctostaphylos,Bearberry,1,berry,early_spring,,T,1,1,9,133,y,,,supposedly better after hard frosts,
Sambucus racemosa,Sambucus,Red elderberry,1,berry,early_summer,,,1,,10,136,y,,,borderline upalatable,
Sambucus racemosa,Sambucus,Red elderberry,1,steeped_beverage,spring,,,,,10,136,y,,,use flowers for tea,
Shepherdia canadensis,Shepherdia,Canada buffaloberry,1,berry,late_summer,,,1,1,10,138,y,,,,
Shepherdia canadensis,Shepherdia,Canada buffaloberry,1,berry,fall,,,1,1,10,138,y,,,,
Elaeagnus umbellata,Elaeagnus,Autumnberry,2,berry,late_summer,,BL,3,,10,139,i,,,,
Elaeagnus umbellata,Elaeagnus,Autumnberry,2,berry,fall,,BL,3,,10,139,i,,,,
Viburnum trilobum,Viburnum,Highbush cranberry,2,berry,late_summer,,"FP, S",2,1,10,140,y,,,,
Viburnum trilobum,Viburnum,Highbush cranberry,2,berry,fall,,"FP, S",2,1,10,140,y,,,,
Viburnum trilobum,Viburnum,Highbush cranberry,2,berry,early_winter,,"FP, S",2,1,10,140,y,,,will soften and shrink by early winter,
Viburnum edule,Viburnum,Squashberry,1,berry,late_summer,,NCBF,2,,10,141,y,northern,,seasonality from boreal forest forage chart,
Viburnum edule,Viburnum,Squashberry,1,berry,early_fall,,NCBF,2,,10,141,y,northern,,seasonality from boreal forest forage chart,
Rosa,Rosa,Rose,1,berry,late_summer,,"NCBF, BL",2,1,10,142,y,,,,
Rosa,Rosa,Rose,1,berry,fall,,"NCBF, BL",2,1,10,142,y,,,,
Rosa,Rosa,Rose,1,flower,early_summer,,"NCBF, BL",2,1,10,142,y,,,,
Rosa,Rosa,Rose,1,steeped_beverage,growing,,"NCBF, BL",,1,10,142,y,,,use young leaves for tea,
Lycium barbarum,Lycium,Goji berry,2,berry,late_summer,,,2,,10,145,n,,,,
Lycium barbarum,Lycium,Goji berry,2,berry,fall,,,2,,10,145,n,,,,
Lycium barbarum,Lycium,Goji berry,2,leafy_greens,growing,,,2,,10,145,n,,,young leaves,
Berberis vulgaris,Berberis,European barberry,2,berry,fall,,BL,3,,10,147,i,,,,
Berberis vulgaris,Berberis,European barberry,2,leafy_greens,growing,,BL,1,,10,147,i,,,,
Berberis vulgaris,Berberis,European barberry,2,steeped_beverage,growing,,BL,,,10,147,i,,,steep leaves for a tart drink,
Berberis thunbergii,Berberis,Japanese barberry,2,berry,fall,,BL,1,,10,148,i,,,,
Berberis thunbergii,Berberis,Japanese barberry,2,leafy_greens,growing,,BL,1,,10,148,i,,,,
Berberis thunbergii,Berberis,Japanese barberry,2,steeped_beverage,growing,,BL,,,10,148,i,,,steep leaves for a tart drink,
Lindera benzoin,Lindera,Spicebush,2,seasoning,late_summer,,"MF, FP",,1,10,148,y,,,"gather fruit for a seasoning, fresh or dried",
Lindera benzoin,Lindera,Spicebush,2,seasoning,fall,,"MF, FP",,1,10,148,y,,,"gather fruit for a seasoning, fresh or dried",
Lindera benzoin,Lindera,Spicebush,2,steeped_beverage,year,,"MF, FP",,1,10,148,y,,,use twigs or leaves for tea,
Ribes triste,Ribes,Red currant,1,berry,mid_summer,,"NCBF, S",3,1,10,149,y,,,,
Ribes glandulosum,Ribes,Skunk currant,1,berry,mid_summer,,NCBF,1,1,10,150,y,,,,
Ribes glandulosum,Ribes,Skunk currant,1,berry,late_summer,,NCBF,1,1,10,150,y,,,,
Aronia arbutifolia,Aronia,Red aronia,2,berry,fall,,B,1,1,10,151,y,,,,
Aronia arbutifolia,Aronia,Red aronia,2,berry,winter,,B,1,1,10,151,y,,,,
Vaccinium stamineum,Vaccinium,Deerberry,1,berry,late_summer,,DDFW,2,1,11,154,y,southern,,,
Vaccinium stamineum,Vaccinium,Deerberry,1,berry,fall,,DDFW,2,1,11,154,y,southern,,,
Cornus stolonifera,Cornus,Red-osier dogwood,2,berry,mid_summer,,,1,1,11,156,y,,,,
Cornus stolonifera,Cornus,Red-osier dogwood,2,berry,late_summer,,,1,1,11,156,y,,,,
Viburnum lentago,Viburnum,Nannyberry,2,berry,fall,,"SEF, FP, BL",2,,11,157,y,,,,
Viburnum cassinoides,Viburnum,Wild raisin,2,berry,fall,,"SEF, FP, BL, S, B",2,,11,158,y,,,,
Viburnum nudum,Viburnum,Wild raisin,2,berry,fall,,"SEF, FP, BL, S, B",2,,11,158,y,,,,
Viburnum prunifolium,Viburnum,Common black haw,2,berry,fall,,"DDFW, SEF, FP, BL",2,,11,158,y,,,,
Viburnum rufidulum,Viburnum,Rusty black haw,2,berry,fall,,"DDFW, SEF, FP, BL",2,,11,159,y,,,,
Viburnum obovatum,Viburnum,Dwarf black haw,2,berry,fall,,"DDFW, SEF, FP, BL",2,,11,159,y,,,,
Viburnum alnifolium,Viburnum,Hobblebush,1,berry,late_summer,,"DDFW, MF, SEF, FP, BL",2,1,11,160,y,,,,
Prunus virginiana,Prunus,Chokecherry,2,berry,late_summer,,"NCBF, FP, BL",2,,11,161,y,,"Glossy buckthorn, Common buckthorn",,
Prunus virginiana,Prunus,Chokecherry,2,berry,early_fall,,"NCBF, FP, BL",2,,11,161,y,,"Glossy buckthorn, Common buckthorn",,
Prunus pumila,Prunus,Sandcherry,1,berry,late_summer,,"SMGP, SS",2,1,11,162,y,,,seasonality from sand dunes biome forage chart,
Prunus pumila,Prunus,Sandcherry,1,berry,early_fall,,"SMGP, SS",2,1,11,162,y,,,seasonality from sand dunes biome forage chart,
Prunus susquehanae,Prunus,Sandcherry,1,berry,late_summer,,"SMGP, SS",2,1,11,162,y,,,seasonality from sand dunes biome forage chart,
Prunus susquehanae,Prunus,Sandcherry,1,berry,early_fall,,"SMGP, SS",2,1,11,162,y,,,seasonality from sand dunes biome forage chart,
Sambucus canadensis,Sambucus,Black elderberry,2,berry,mid_summer,,"FP, BL, S",2,,11,163,y,,,,
Sambucus canadensis,Sambucus,Black elderberry,2,berry,late_summer,,"FP, BL, S",2,,11,163,y,,,,
Ribes,Ribes,Gooseberry,1,berry,mid_summer,,"DDFW, MF, NCBF, FP, BL, S",3,1,11,164,y,,,,
Ribes,Ribes,Gooseberry,1,berry,late_summer,,"DDFW, MF, NCBF, FP, BL, S",3,1,11,164,y,,,,
Ribes americanum,Ribes,American black currant,1,berry,mid_summer,,"BL, S",2,1,11,165,y,,,,
Ribes americanum,Ribes,American black currant,1,berry,late_summer,,"BL, S",2,1,11,165,y,,,,
Lonicera caerulea,Lonicera,Blue honeysuckle,1,berry,mid_summer,,"S, B",3,1,11,167,y,,,,
Aronia melanocarpa,Aronia,Black aronia,2,berry,mid_summer,,B,2,1,11,169,y,,,juice can be a strong laxative for some people,
Aronia melanocarpa,Aronia,Black aronia,2,berry,fall,,B,2,1,11,169,y,,,juice can be a strong laxative for some people,
Aronia melanocarpa,Aronia,Black aronia,2,berry,early_winter,,B,2,1,11,169,y,,,juice can be a strong laxative for some people,
Gaylussacia baccata,Gaylussacia,Black huckleberry,1,berry,summer,,DDFW,3,1,11,170,y,,,seasonilty from deciduous forest forage chart,
Vaccinium corymbosum,Vaccinium,Highbush blueberry,1,berry,mid_summer,,"S, B",3,1,11,173,y,,,,
Vaccinium,Vaccinium,Lowbush blueberry,1,berry,mid_summer,,"DDFW, NCBF, B",3,1,11,174,y,,,,
Vaccinium,Vaccinium,Lowbush blueberry,1,berry,late_summer,,"DDFW, NCBF, B",3,1,11,174,y,,,,
Vaccinium uliginosum,Vaccinium,Bilberry,1,berry,late_summer,,"B, T",3,1,11,175,y,alpine,,likely threatened in Vermont,
Vaccinium uliginosum,Vaccinium,Bilberry,1,berry,early_fall,,"B, T",3,1,11,175,y,alpine,,likely threatened in Vermont,
Rhus copallinum,Rhus,Winged sumac,2,shoot,late_spring,,"DDFW, BL",2,1,12,177,y,,,,
Rhus copallinum,Rhus,Winged sumac,2,steeped_beverage,summer,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus copallinum,Rhus,Winged sumac,2,steeped_beverage,early_fall,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus copallinum,Rhus,Winged sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus copallinum,Rhus,Winged sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus typhina,Rhus,Staghorn sumac,2,shoot,late_spring,,"DDFW, BL",2,1,12,177,y,,,,
Rhus typhina,Rhus,Staghorn sumac,2,steeped_beverage,summer,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus typhina,Rhus,Staghorn sumac,2,steeped_beverage,early_fall,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus typhina,Rhus,Staghorn sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus typhina,Rhus,Staghorn sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus glabra,Rhus,Smooth sumac,2,shoot,late_spring,,"DDFW, BL",2,1,12,177,y,,,,
Rhus glabra,Rhus,Smooth sumac,2,steeped_beverage,summer,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus glabra,Rhus,Smooth sumac,2,steeped_beverage,early_fall,,"DDFW, BL",,1,12,177,y,,Poison sumac,use berries for sumacade,
Rhus glabra,Rhus,Smooth sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus glabra,Rhus,Smooth sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus aromatica,Rhus,Fragrant sumac,2,steeped_beverage,summer,,"DDFW, BL",,1,12,177,y,,Poison ivy,use berries for sumacade or za'atar,
